player,date,elo_before,rolling_win_pct,last3_win_avg,surface_win_pct,rolling_ace_avg,rolling_minutes_avg,rolling_bp_save,current_elo,last5_1,last5_2,last5_3,last5_4,last5_5
Dominik Koepfer,2025-01-27,1489.4180320056005,0.3,0.0,0.4,4.0,117.42857142857143,0.44010416666666663,1486.4724099854543,1,0.0,0.0,0.0,0.0
Dragos Nicolae Madaras,2026-02-06,1500.0,,,,,,,1490.6155583020038,0,,,,
Duje Ajdukovic,2025-01-31,1492.6118347008955,0.4,0.3333333333333333,0.5,3.2222222222222223,100.66666666666667,0.3123015873015873,1507.4605324882898,1,0.0,1.0,0.0,0.0
Dusan Lajovic,2026-04-24,1398.7685087569,0.2,0.3333333333333333,0.3,2.3,98.44444444444444,0.4409920634920635,1392.1163079398407,0,1.0,0.0,0.0,0.0
Edas Butvilas,2026-05-20,1546.306040560902,0.8,1.0,1.0,2.0,80.0,0.75,1536.1546703935612,0,1.0,1.0,1.0,1.0
Eero Vasa,2026-02-06,1433.1105872297321,0.14285714285714285,0.3333333333333333,0.0,4.4,89.6,0.6666666666666666,1421.5515167961794,0,1.0,0.0,0.0,0.0
Egor Gerasimov,2024-10-02,1500.0,,,,,,,1478.636200140222,0,,,,
Elias Ymer,2026-02-24,1475.9123009526836,0.5,0.3333333333333333,0.5,4.75,122.875,0.6733405483405484,1464.9667408672053,0,0.0,1.0,1.0,0.0
Eliot Spizzirri,2026-05-25,1566.0999851212962,0.6,0.3333333333333333,0.7,8.9,139.2,0.5633374561945991,1554.1573238354556,0,0.0,1.0,0.0,1.0
Elliot Benchetrit,2025-03-31,1499.5957285825793,0.5,0.3333333333333333,0.0,3.3333333333333335,112.66666666666667,0.5584415584415584,1483.9041106809839,0,1.0,0.0,0.0,1.0
Elmer Moller,2026-04-26,1510.768368510669,0.6,0.6666666666666666,0.5,1.7,104.6,0.5412864912864913,1509.7884554136886,0,1.0,1.0,0.0,1.0
Emil Ruusuvuori,2025-10-13,1494.7541323735222,0.5,0.3333333333333333,0.4,6.7,135.1,0.6614959114959116,1481.6097113748779,0,1.0,0.0,0.0,0.0
Emilio Camacho,2026-02-06,1500.0,,,,,,,1482.6904573915726,0,,,,
Emilio Gomez,2024-02-02,1500.0,,,,,,,1484.0,0,,,,
